id,Selling_Price,Present_Price,Kms_Driven,Owner,kfold,Number of years,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
0,0.45,0.95,24000,0,0,9,0,1,1,1
1,5.4,6.82,31427,0,0,5,0,1,0,0
2,6.25,7.6,7000,0,0,4,0,1,0,1
3,17.0,18.64,8700,0,0,3,0,1,0,1
4,2.65,7.98,41442,0,0,10,0,1,0,1
5,4.1,10.0,69341,0,0,9,0,1,0,1
6,8.25,9.4,61381,0,0,5,1,0,0,1
7,0.48,0.84,23000,0,0,5,0,1,1,1
8,4.75,7.13,35866,1,0,5,0,1,0,1
9,0.48,0.54,8600,0,0,3,0,1,1,1
10,9.5,11.6,33988,0,0,4,1,0,0,1
11,6.15,9.4,45000,0,0,7,1,0,0,1
12,0.25,0.75,26000,1,0,12,0,1,1,1
13,4.5,9.4,36000,0,0,8,0,1,0,1
14,8.4,13.6,25000,0,0,5,0,1,0,1
15,33.0,36.23,6000,0,0,3,1,0,0,0
16,5.75,7.5,44000,0,0,5,0,1,0,0
17,2.65,5.71,43000,0,0,9,0,1,0,1
18,4.5,12.48,45000,0,0,9,1,0,0,1
19,1.1,1.9,14000,0,0,5,0,1,1,1
20,0.6,0.84,25000,0,0,4,0,1,1,1
21,6.6,7.7,16002,0,0,4,0,1,0,1
22,8.35,9.4,19434,0,0,4,1,0,0,1
23,4.0,7.0,40026,0,0,5,0,1,0,1
24,5.3,6.8,16500,0,0,6,0,1,0,1
25,14.5,30.61,89000,0,0,8,1,0,0,0
26,7.2,9.9,48000,0,0,6,1,0,0,1
27,6.45,9.4,45078,0,0,6,0,1,0,1
28,3.1,5.98,51439,0,0,8,1,0,0,1
29,3.51,13.7,75000,0,0,15,0,1,0,1
30,4.5,6.4,19000,0,0,6,0,1,0,1
31,0.9,1.75,40000,0,0,11,0,1,1,1
32,1.7,1.82,1400,0,0,3,0,1,1,1
33,1.2,1.78,6000,0,0,4,0,1,1,1
34,7.45,18.61,56001,0,0,7,0,1,0,1
35,0.4,0.51,1300,0,0,3,0,1,1,0
36,0.4,0.83,5500,0,0,8,0,1,1,1
37,0.6,0.8,20000,0,0,4,0,1,1,1
38,1.05,1.17,6000,0,0,4,0,1,1,1
39,3.0,10.0,69562,0,0,11,0,1,0,1
40,35.0,92.6,78000,0,0,10,1,0,0,1
41,6.5,8.7,21200,0,0,3,0,1,0,1
42,2.9,6.79,31604,0,0,9,0,1,0,1
43,1.05,1.9,5400,0,0,7,0,1,1,1
44,8.99,11.8,9010,0,0,4,0,1,0,1
45,5.2,9.4,71000,0,0,8,1,0,0,1
46,7.4,8.5,15059,0,0,4,0,1,0,0
47,6.5,8.61,33429,0,0,5,1,0,0,1
48,0.55,0.787,15000,0,0,6,0,1,1,1
49,7.05,18.61,45000,0,0,7,0,1,0,1
50,2.25,7.5,61203,0,0,10,0,1,0,1
51,0.35,0.52,19000,0,0,6,0,1,1,0
52,6.0,9.95,45000,0,0,6,1,0,0,1
53,0.4,0.55,6700,0,0,5,0,1,1,1
54,0.45,0.95,27000,0,0,10,0,1,1,1
55,5.4,6.1,31427,0,0,5,0,1,0,1
56,1.95,7.15,58000,0,0,12,0,1,0,1
57,2.75,4.43,28282,0,0,5,0,1,0,1
58,1.15,1.4,35000,0,0,4,0,1,1,1
59,3.65,7.0,35000,0,0,6,0,1,0,1
60,2.5,23.73,142000,3,0,14,0,1,1,0
61,18.0,19.77,15000,0,1,3,1,0,0,0
62,11.25,16.09,58242,0,1,6,1,0,0,1
63,9.1,9.4,15141,0,1,3,0,1,0,1
64,0.3,0.48,50000,0,1,4,0,1,1,1
65,7.25,9.85,6900,0,1,3,0,1,0,1
66,0.52,0.94,45000,0,1,10,0,1,1,1
67,0.55,0.84,58000,0,1,5,0,1,1,1
68,7.5,9.94,15000,0,1,5,0,1,0,0
69,0.2,0.75,60000,0,1,12,0,1,1,1
70,0.75,0.8,7000,0,1,4,0,1,1,1
71,5.5,14.68,72000,0,1,7,0,1,0,1
72,5.85,18.61,72000,0,1,8,0,1,0,1
73,11.75,14.79,43535,0,1,5,1,0,0,1
74,2.95,7.74,49998,0,1,9,0,0,0,1
75,2.9,4.43,12500,0,1,4,0,1,0,1
76,0.2,0.65,24000,1,1,7,0,1,1,1
77,5.11,9.4,36198,0,1,7,0,1,0,0
78,5.25,5.7,20114,0,1,3,0,1,0,1
79,0.3,0.58,30000,0,1,7,0,1,1,1
80,12.9,13.6,35934,0,1,4,1,0,0,1
81,0.6,0.81,19000,0,1,8,0,1,1,1
82,6.0,8.4,4000,0,1,4,0,1,0,1
83,0.25,0.51,32000,0,1,7,0,1,1,1
84,0.72,0.95,500,0,1,4,0,1,1,1
85,0.6,0.99,25000,0,1,6,0,1,1,1
86,6.85,10.38,51000,0,1,5,1,0,0,1
87,6.0,6.49,16200,0,1,3,0,1,1,1
88,4.75,9.54,43000,0,1,7,1,0,0,1
89,2.35,4.89,54200,0,1,9,0,1,0,1
90,5.95,9.4,36000,0,1,5,0,1,0,1
91,1.35,3.45,16500,1,1,6,0,1,1,1
92,1.15,1.5,8700,0,1,4,0,1,1,1
93,4.75,7.85,40000,0,1,5,1,0,0,1
94,5.15,5.7,34797,0,1,5,0,1,0,0
95,4.35,13.74,88000,0,1,9,0,1,0,1
96,4.1,6.8,39485,1,1,6,0,1,0,1
97,0.25,0.52,22000,0,1,10,0,1,1,0
98,3.95,6.76,71000,0,1,6,1,0,0,1
99,0.45,0.55,1000,0,1,4,0,1,1,1
100,23.0,30.61,40000,0,1,5,1,0,0,0
101,0.9,0.95,1300,0,1,3,0,1,1,1
102,0.48,0.52,15000,0,1,3,0,1,1,1
103,3.1,4.6,35775,0,1,8,0,1,0,1
104,1.2,1.47,11000,0,1,3,0,1,1,1
105,2.85,4.15,5200,0,1,9,0,1,0,1
106,2.9,4.41,56879,0,1,7,0,1,0,1
107,7.25,10.79,41678,0,1,5,1,0,0,1
108,0.4,0.54,14000,0,1,5,0,1,1,1
109,0.78,0.84,5000,0,1,3,0,1,1,1
110,1.05,1.26,5700,0,1,4,0,1,1,1
111,6.75,8.12,18796,0,1,5,0,1,0,1
112,4.75,6.95,45000,0,1,6,1,0,0,1
113,12.5,13.46,38000,0,1,5,1,0,0,1
114,1.35,2.37,21700,0,1,5,0,1,1,1
115,8.75,8.89,20273,0,1,4,1,0,0,1
116,4.0,5.8,40023,0,1,5,0,1,0,1
117,0.75,0.95,3500,0,1,3,0,1,1,1
118,0.27,0.47,21000,0,1,7,0,1,1,1
119,5.25,5.9,14465,0,1,5,0,1,0,1
120,4.5,7.7,40588,0,1,5,0,1,0,1
121,4.75,6.76,40000,0,2,6,0,1,0,1
122,8.4,13.6,34000,0,2,5,0,1,0,1
123,3.15,4.43,15000,0,2,4,0,1,0,1
124,8.65,13.6,24800,0,2,5,0,1,0,1
125,0.42,0.81,42000,0,2,6,0,1,1,1
126,7.75,10.79,43000,0,2,4,1,0,0,1
127,2.95,4.6,53460,0,2,9,0,1,0,1
128,14.25,20.91,12000,0,2,4,0,1,0,1
129,5.8,7.71,25870,0,2,5,0,1,0,1
130,5.5,8.06,45780,0,2,6,1,0,0,1
131,8.5,13.6,40324,0,2,5,0,1,0,1
132,5.85,7.87,24524,0,2,4,0,1,0,0
133,9.15,13.6,29223,0,2,4,0,1,0,1
134,3.25,6.79,58000,1,2,10,1,0,0,1
135,5.95,9.4,49000,0,2,7,1,0,0,1
136,9.65,20.45,50024,0,2,10,1,0,0,1
137,2.7,4.6,22517,0,2,9,0,1,0,1
138,4.4,5.7,28200,0,2,5,0,1,0,1
139,4.0,4.6,30000,0,2,7,0,1,0,1
140,0.45,0.826,23000,0,2,6,0,1,1,1
141,0.5,0.88,8000,0,2,6,0,1,1,1
142,0.45,0.54,500,0,2,4,0,1,1,0
143,7.9,8.1,3435,0,2,3,0,1,0,1
144,6.7,10.0,18828,0,2,5,0,1,0,1
145,3.6,15.04,70000,0,2,11,0,1,0,0
146,2.0,4.43,23709,0,2,8,0,1,0,1
147,20.75,25.39,29000,0,2,4,1,0,0,0
148,0.45,0.54,14000,0,2,4,0,1,1,1
149,2.85,3.6,2135,0,2,3,0,1,0,1
150,3.9,7.0,36054,0,2,6,0,1,0,1
151,5.5,5.7,4492,0,2,5,0,1,0,1
152,1.11,1.47,17500,0,2,5,0,1,1,1
153,4.6,6.87,42450,0,2,6,1,0,0,1
154,19.75,23.15,11000,0,2,3,0,1,0,0
155,3.5,4.43,38488,0,2,3,0,1,0,1
156,7.75,9.29,37000,0,2,3,0,1,0,0
157,0.5,0.99,13000,0,2,8,0,1,1,1
158,10.25,13.6,49562,0,2,4,0,1,0,1
159,1.2,1.5,18000,0,2,4,0,1,1,1
160,11.25,13.6,68000,0,2,5,1,0,0,1
161,4.4,8.01,50000,0,2,9,0,1,0,0
162,3.1,6.79,52132,0,2,8,1,0,0,1
163,5.9,13.74,56000,0,2,8,0,1,0,1
164,3.95,6.8,36000,0,2,5,0,1,0,1
165,5.5,8.06,45000,0,2,6,1,0,0,1
166,6.25,13.6,40126,0,2,6,0,1,0,1
167,0.65,0.81,11800,0,2,3,0,1,1,1
168,2.25,7.98,62000,0,2,17,0,1,0,1
169,23.0,30.61,40000,0,2,5,1,0,0,0
170,2.55,3.98,46706,0,2,6,0,1,0,1
171,3.8,18.61,62000,0,2,11,0,1,0,1
172,5.75,7.13,12479,0,2,3,0,1,0,1
173,6.1,7.71,26000,0,2,5,0,1,0,1
174,4.5,9.4,36100,0,2,8,0,1,0,1
175,0.65,1.2,23500,0,2,6,0,1,1,1
176,1.65,1.78,4000,0,2,3,0,1,1,1
177,14.73,14.89,23000,0,2,4,1,0,0,1
178,3.75,6.79,35000,0,2,8,0,1,0,1
179,0.4,0.64,13700,0,2,6,0,1,1,1
180,7.45,10.38,45000,0,2,5,1,0,0,1
181,6.0,7.6,77632,0,3,6,1,0,0,1
182,7.75,10.79,43000,0,3,4,1,0,0,1
183,9.25,9.83,2071,0,3,2,1,0,0,1
184,3.0,3.76,10079,0,3,4,0,1,0,1
185,5.25,5.7,3493,1,3,4,0,1,0,1
186,1.0,1.47,46500,0,3,7,0,1,1,1
187,4.85,5.7,21125,0,3,5,1,0,0,1
188,11.5,12.5,9000,0,3,3,1,0,0,1
189,1.5,12.35,135154,0,3,16,0,1,0,0
190,3.9,5.7,53000,0,3,7,1,0,0,1
191,4.95,7.49,39000,0,3,6,1,0,0,1
192,1.35,1.47,4100,0,3,3,0,1,1,1
193,1.15,1.47,17000,0,3,5,0,1,1,1
194,10.11,13.6,10980,0,3,4,0,1,0,1
195,4.75,18.54,50000,0,3,10,0,1,0,1
196,6.4,8.4,12000,0,3,4,0,1,0,1
197,0.12,0.58,53000,0,3,13,0,1,1,1
198,2.1,7.6,50456,0,3,14,0,1,0,1
199,1.25,1.5,15000,0,3,7,0,1,1,1
200,4.8,5.8,19000,0,3,3,0,1,0,1
201,0.35,0.57,24000,0,3,4,0,1,1,0
202,9.25,9.4,15001,0,3,3,0,1,0,1
203,3.35,5.59,27000,0,3,6,0,1,0,1
204,4.8,9.4,60241,0,3,7,0,1,0,1
205,1.1,1.47,26000,0,3,5,0,1,1,1
206,0.8,0.87,3000,0,3,3,0,1,1,1
207,4.5,7.27,40534,0,3,5,0,1,0,1
208,0.35,1.05,30000,0,3,9,0,1,1,1
209,6.95,18.61,40001,0,3,7,0,1,0,1
210,0.2,0.787,50000,0,3,12,0,1,1,1
211,3.49,13.46,197176,0,3,15,1,0,0,1
212,4.95,9.4,60000,0,3,8,1,0,0,1
213,0.42,0.73,12000,0,3,7,0,1,1,1
214,4.4,7.13,34000,0,3,6,0,1,0,1
215,0.6,0.84,29000,0,3,5,0,1,1,1
216,3.0,4.99,20000,0,3,9,0,1,0,1
217,0.3,0.51,60000,0,3,8,0,1,1,1
218,2.75,10.21,90000,0,3,15,0,1,1,1
219,7.45,8.92,42367,0,3,5,1,0,0,1
220,2.65,4.89,64532,0,3,7,0,1,0,1
221,0.38,0.787,75000,0,3,9,0,1,1,1
222,3.45,6.05,47000,0,3,7,0,1,0,1
223,0.75,0.82,18000,0,3,5,0,1,1,1
224,2.85,3.95,25000,0,3,4,0,1,0,1
225,23.0,25.39,15000,0,3,3,1,0,0,0
226,0.6,0.95,16600,0,3,5,0,1,1,1
227,5.5,5.97,5600,0,3,4,0,1,0,1
228,3.75,6.8,33019,0,3,6,0,1,0,1
229,23.5,35.96,47000,0,3,5,1,0,0,0
230,1.95,3.95,44542,0,3,10,0,1,0,1
231,0.65,0.787,16000,0,3,7,0,1,1,1
232,0.18,0.32,35000,0,3,5,0,1,1,1
233,0.25,0.57,18000,0,3,7,0,1,1,1
234,19.99,35.96,41000,0,3,6,1,0,0,0
235,7.5,12.04,15000,0,3,6,0,1,0,0
236,5.65,7.9,28569,0,3,4,0,1,0,1
237,0.5,0.826,6000,0,3,9,0,1,1,1
238,1.75,1.9,3000,0,3,4,0,1,1,1
239,3.25,9.9,38000,0,3,10,0,1,0,1
240,0.16,0.51,33000,0,3,10,0,1,1,1
241,0.45,0.99,14500,0,4,8,0,1,1,1
242,0.65,0.74,5000,0,4,5,0,1,1,1
243,7.5,10.0,27600,0,4,5,0,1,0,1
244,16.0,30.61,135000,0,4,7,1,0,1,0
245,1.15,2.4,7000,0,4,6,0,1,1,1
246,10.9,13.6,30753,0,4,4,0,1,0,0
247,1.05,4.15,65000,0,4,14,0,1,0,1
248,2.25,7.21,77427,0,4,11,0,1,0,1
249,0.5,0.55,31000,0,4,4,0,1,1,1
250,5.25,5.7,24678,0,4,5,0,1,0,1
251,3.0,5.35,53675,0,4,8,0,1,0,1
252,0.35,2.28,127000,0,4,17,0,1,1,1
253,0.15,0.57,35000,1,4,9,0,1,1,1
254,5.25,22.83,80000,0,4,10,0,1,0,0
255,0.75,0.87,11000,0,4,3,0,1,1,1
256,4.15,5.87,55138,0,4,7,0,1,0,1
257,3.35,11.0,87934,0,4,11,0,1,0,1
258,3.25,5.09,35500,0,4,5,0,0,0,1
259,0.17,0.52,500000,0,4,12,0,1,1,0
260,0.38,0.72,38600,0,4,5,0,1,1,1
261,2.5,3.46,45280,0,4,6,0,1,0,1
262,1.45,1.6,1200,0,4,3,0,1,1,1
263,11.45,14.79,12900,0,4,5,0,1,0,0
264,0.48,0.51,4300,0,4,3,0,1,1,0
265,2.55,4.43,57000,0,4,9,0,1,0,1
266,0.51,0.94,24000,0,4,4,0,1,1,1
267,0.6,0.87,15000,0,4,4,0,1,1,1
268,0.45,0.51,4000,0,4,3,0,1,1,0
269,11.25,13.6,22671,0,4,4,0,1,0,1
270,0.5,0.99,45000,0,4,7,0,1,1,1
271,5.25,7.6,17000,0,4,4,0,1,0,1
272,4.9,5.71,2400,0,4,3,0,1,0,1
273,0.2,0.75,49000,1,4,13,0,1,1,1
274,9.7,13.6,21780,0,4,5,0,1,0,1
275,8.55,13.09,60076,0,4,5,1,0,0,1
276,5.0,9.9,56701,0,4,7,0,1,0,1
277,4.65,7.2,48767,0,4,5,0,1,0,1
278,5.35,9.4,32322,0,4,8,1,0,0,1
279,4.0,5.9,60000,0,4,5,0,1,0,1
280,5.3,5.9,5464,0,4,4,0,1,0,1
281,0.25,0.58,1900,0,4,12,0,1,1,0
282,0.2,0.57,55000,0,4,15,0,1,1,1
283,1.05,1.5,6900,0,4,9,0,1,1,1
284,18.75,35.96,78000,0,4,6,1,0,0,0
285,4.9,8.93,83000,0,4,6,1,0,0,1
286,4.0,22.78,89000,0,4,12,0,1,0,0
287,3.5,5.9,9800,0,4,7,0,1,0,1
288,0.1,0.75,92233,0,4,14,0,1,1,1
289,0.2,0.57,25000,1,4,8,0,1,1,1
290,14.9,30.61,104707,0,4,8,1,0,0,0
291,3.1,4.43,11849,0,4,4,0,1,0,1
292,0.95,1.75,11500,0,4,8,0,1,1,1
293,1.1,1.47,33000,0,4,7,0,1,1,1
294,8.25,14.0,63000,0,4,6,1,0,0,1
295,0.31,1.05,213000,0,4,10,0,1,1,1
296,0.6,1.2,32000,0,4,7,0,1,1,1
297,1.25,2.69,50000,0,4,8,0,1,0,1
298,9.25,20.45,59000,0,4,10,1,0,0,1
299,5.25,9.9,54242,0,4,7,0,1,0,1
300,4.5,6.79,32000,0,4,7,0,1,0,0
